<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20150225,000000,1197.9,1211.7,1190,1206.7,118925
20150226,000000,1206.7,1219.9,1200.9,1217.8,93868
20150227,000000,1217.8,1219.9,1204.1,1206.1,100504
20150228,000000,1206.1,1219.2,1205.5,1213.7,75849
20150302,000000,1213.8,1223,1212.3,1216.7,40210
20150303,000000,1216.7,1219.6,1194.6,1207.4,125581
20150304,000000,1207.3,1214.4,1201.1,1203.7,111510
20150305,000000,1203.8,1207,1197.1,1199.8,91825
20150306,000000,1199.8,1208.9,1192.1,1195.9,106196
20150307,000000,1195.9,1197.7,1162.9,1168.2,156916
20150309,000000,1169.6,1173.6,1166.3,1173.1,29453
20150309,000000,1173.2,1174.4,1153.8,1157.1,107130
20150311,000000,1157.2,1169.6,1156.4,1160.5,114494
20150312,000000,1160.5,1165.7,1146.5,1158.7,142879
20150313,000000,1158.8,1160.9,1147.5,1157.6,111862
20150314,000000,1157.6,1158.8,1150.4,1158.4,74059
20150316,000000,1157.9,1163.3,1152.7,1158.5,26024
20150317,000000,1158.4,1158.4,1149.3,1152.7,86086
20150318,000000,1152.7,1159.3,1141.6,1146,137687
20150319,000000,1145.9,1177,1145,1164.7,174701
20150320,000000,1164.7,1173.1,1158.6,1170.2,120892
20150321,000000,1170.1,1187.4,1168.4,1181.7,111041
20150323,000000,1183.2,1186.6,1178.6,1181,31242
20150324,000000,1181,1192.4,1180.1,1190.5,103094
20150325,000000,1190.3,1194.5,1185.3,1192.2,116303
20150326,000000,1192.2,1219.5,1190.2,1212.7,129933
20150327,000000,1212.6,1213.4,1196.1,1197.7,115101
20150328,000000,1197.8,1202.2,1191.7,1198.3,58518
20150330,000000,1198,1198.5,1185.9,1188.6,4300
20150331,000000,1188.5,1190.4,1178.2,1179.9,8321
20150401,000000,1179.7,1190.1,1178.2,1182.3,23327
20150402,000000,1182.3,1208.7,1180.5,1202.3,138339
20150403,000000,1202.3,1205.9,1194.8,1202.5,80393
20150404,000000,1200.9,1200.9,1200.9,1200.9,1
20150406,000000,1212.6,1223.5,1212.6,1220.8,29611
20150407,000000,1221,1224.5,1207.5,1208.5,92553
20150408,000000,1208.4,1214.3,1207.8,1209.7,70960
20150409,000000,1209.5,1212,1192.4,1196.2,121477
20150410,000000,1196.2,1205.6,1192.7,1202.1,108761
20150411,000000,1202.1,1210.6,1198.9,1207.8,78812
20150413,000000,1207.2,1209.3,1198.2,1198.3,32223
20150414,000000,1198.3,1206.8,1189.7,1190.8,105967
20150415,000000,1190.8,1198.9,1183.5,1189.9,141109
20150416,000000,1189.8,1208.8,1188.3,1204.4,143228
20150417,000000,1204.5,1208.8,1194.3,1204,119324
20150418,000000,1204,1207.8,1200.5,1203.3,77680
20150420,000000,1204.4,1209,1202.4,1204,29707
20150421,000000,1203.9,1204.3,1190.8,1195,113067
20150422,000000,1195,1204.4,1194.2,1200.1,101484
20150423,000000,1200.2,1203.5,1183.6,1187.4,144313
20150424,000000,1187.4,1197.4,1185.3,1191.7,99262
20150425,000000,1191.8,1192,1174.1,1179.9,125178
20150427,000000,1179.3,1182.8,1177.6,1181.2,28492
20150428,000000,1181.2,1206.7,1180.7,1200.6,180026
20150429,000000,1200.7,1214.9,1199.8,1206.9,133105
20150430,000000,1206.9,1213.5,1199.3,1204.2,140387
20150501,000000,1204.1,1206.5,1176,1179.9,177175
20150502,000000,1179.9,1181.4,1168.4,1177.4,89582
20150504,000000,1176.6,1184.2,1176.6,1181.8,23223
20150505,000000,1181.7,1192.1,1179.5,1188.2,90321
20150506,000000,1188.1,1199.3,1185.7,1190.4,104301
20150507,000000,1190.4,1196.9,1180.6,1181.3,100603
20150508,000000,1181.4,1187.9,1177.9,1185.5,91270
20150509,000000,1185.3,1193,1180.5,1187.3,93121
20150511,000000,1189,1189.6,1183.1,1184.8,18216
20150512,000000,1184.8,1190.9,1178,1183.8,93268
20150513,000000,1183.9,1196.3,1182.8,1192.2,111915
20150514,000000,1192.3,1218.8,1191.7,1214,208736
20150515,000000,1214,1227.7,1213.8,1218.5,144625
20150516,000000,1218.5,1225.8,1210.6,1223,97779
20150518,000000,1222.8,1232,1221.2,1228.3,32835
20150519,000000,1228.4,1230.9,1216.8,1220.5,102322
20150520,000000,1220.5,1224,1202.7,1206.8,148910
20150521,000000,1206.8,1213.2,1205.8,1210.9,94557
20150522,000000,1211,1214.4,1200.8,1211.9,95174
20150523,000000,1212,1214.6,1201,1205.4,81353
20150525,000000,1205.2,1205.4,1202.3,1204,11920
20150526,000000,1203.9,1208.2,1194.4,1194.8,47201
20150527,000000,1194.7,1195.6,1184.8,1187.9,132536
20150528,000000,1187.9,1192,1183,1189.6,61396
20150529,000000,1189.7,1190.4,1179.6,1188.1,13921
20150530,000000,1188,1193.3,1185.7,1190.3,731
20150601,000000,1189.8,1197.7,1185.2,1187.4,26180
20150602,000000,1187.5,1204.7,1184,1186.9,162056
20150603,000000,1186.9,1196.4,1186.1,1189,97141
20150604,000000,1189,1193.4,1179.1,1182.2,128677
